full_name
Marilyn Monroe
Bruce Lee
Marlon Brando
Al Pacino
Marlene Dietrich
Audrey Hepburn
Clint Eastwood
Robert De Niro
Jack Nicholson
Arnold Schwarzenegger
Chuck Norris
Brigitte Bardot
Sylvester Stallone
James Dean
Sean Connery
Sophia Loren
Anthony Hopkins
John Wayne
Orson Welles
Greta Garbo
Dustin Hoffman
Harrison Ford
Ingrid Bergman
Alain Delon
Louis de Funès
Bud Spencer
Jackie Chan
Katharine Hepburn
Grace Kelly
Charles Bronson
Vivien Leigh
Terence Hill
Henry Fonda
Judy Garland
Gregory Peck
Marcello Mastroianni
Jean Reno
Morgan Freeman
Catherine Deneuve
Steve McQueen
Robert Redford
Michael Douglas
Romy Schneider
Kirk Douglas
Cary Grant
Clark Gable
Bette Davis
Anthony Quinn
Jon Voight
Michael Caine
Rita Hayworth
Toshiro Mifune
Christopher Lee
Meryl Streep
Bruce Willis
Johnny Depp
Steven Seagal
Robin Williams
Gary Cooper
Paul Newman
Roger Moore
Gene Hackman
Claudia Cardinale
Omar Sharif
Ava Gardner
Laurence Olivier
Richard Gere
Brad Pitt
Yul Brynner
Elizabeth Taylor
Benny Hill
Jean-Paul Belmondo
Peter Sellers
Jane Fonda
Tom Hanks
Terry Gilliam
Robert Duvall
Jack Lemmon
Charlton Heston
Burt Lancaster
Christopher Walken
John Cleese
Sharon Tate
Harvey Keitel
Yves Montand
Samuel L. Jackson
Ian McKellen
John Travolta
Peter Ustinov
Malcolm McDowell
Doris Day
Alan Rickman
Errol Flynn
Donald Sutherland
Susan Sarandon
Julie Andrews
Ben Kingsley
Mel Gibson
Denzel Washington
Cher
Faye Dunaway
Lee Van Cleef
Tommy Lee Jones
Shirley MacLaine
Rock Hudson
Tom Waits
Fernandel
James Coburn
Diane Keaton
Marcel Marceau
Maggie Smith
James Stewart
Gérard Depardieu
Philippe Noiret
Jean Gabin
Alec Guinness
Liza Minnelli
Klaus Kinski
Christopher Lloyd
Rutger Hauer
Tom Cruise
Danny DeVito
Simone Signoret
Jane Birkin
Gina Lollobrigida
Vincent Price
Jim Carrey
Jerry Lewis
Pierce Brosnan
Olivia Newton-John
James Caan
Martin Sheen
Joan Crawford
Michael Gambon
Richard Harris
Jean-Claude Van Damme
Walter Matthau
George Peppard
William Shatner
Lauren Bacall
Leslie Nielsen
Peter Fonda
Anna Magnani
Gene Kelly
Sigourney Weaver
David Niven
Warren Beatty
Eli Wallach
Liam Neeson
Lee Marvin
Goldie Hawn
Bruno Ganz
Timothy Dalton
Jean Marais
Nick Nolte
Julie Christie
John Belushi
Richard Dean Anderson
Tony Curtis
Telly Savalas
Kurt Russell
Robert Mitchum
Leonard Nimoy
Jeanne Moreau
Bill Murray
Rowan Atkinson
Ellen Burstyn
Angela Lansbury
Hugh Laurie
Sidney Poitier
John Cassavetes
Patrick Swayze
Jeremy Irons
Nicolas Cage
Max von Sydow
Joe Pesci
Bill Cosby
Lee Strasberg
Ginger Rogers
Helen Mirren
Kim Basinger
William Holden
Bette Midler
Judi Dench
Roberto Benigni
Paulette Goddard
Ursula Andress
Shirley Temple
Steve Martin
Antonio Banderas
George Clooney
Vittorio Gassman
John Malkovich
Talia Shire
Anne Bancroft
Pat Morita
Danny Glover
Dennis Hopper
Burt Reynolds
Anita Ekberg
Liv Ullmann
Kevin Costner
Danny Trejo
Deborah Kerr
Anthony Perkins
Mia Farrow
Tom Selleck
Lana Turner
Peter Falk
Kathy Bates
Michael York
John Hurt
Sharon Stone
F. Murray Abraham
Whoopi Goldberg
Gérard Philipe
Maximilian Schell
Will Smith
Patrick Stewart
James Earl Jones
Richard Chamberlain
Jack Palance
Martin Landau
Melina Mercouri
Mickey Rourke
James Woods
Ed Harris
Olivia de Havilland
Monica Bellucci
Keanu Reeves
George Lazenby
Rod Steiger
David Hasselhoff
Sean Penn
Ian Holm
Montgomery Clift
Giulietta Masina
Michael J. Fox
Peter O'Toole
Gloria Stuart
Jean Harlow
Dan Aykroyd
Christopher Reeve
Nicole Kidman
Glenn Close
Jet Li
Viggo Mortensen
John Rhys-Davies
Janet Leigh
Graham Chapman
Michel Piccoli
Anouk Aimée
Sam Neill
Christopher Plummer
Gary Oldman
Demi Moore
Gene Wilder
Michelle Pfeiffer
James Mason
Michael Palin
Bourvil
Michael Keaton
John Cazale
Vanessa Redgrave
Jeff Bridges
Jayne Mansfield
Natalie Wood
Claudette Colbert
Cantinflas
Hugh Grant
Jessica Tandy
Angelina Jolie
Amitabh Bachchan
Mr. T
James Cromwell
Richard Dreyfuss
Peter Lorre
Alberto Sordi
Monica Vitti
Julia Roberts
Jacqueline Bisset
Shelley Winters
Carole Lombard
Geraldine Chaplin
Richard Burton
Bob Hope
Jim Belushi
Glenn Ford
Armin Mueller-Stahl
Ron Perlman
Jason Robards
Mickey Rooney
Chow Yun-Fat
Bob Hoskins
Geoffrey Rush
George C. Scott
David Carradine
Raquel Welch
Tyrone Power
William Hurt
