full_name
"Ed Wood, Jr."
Takeshi Kitano
Hugh Laurie
Carlos Saura
Sidney Poitier
Count Basie
John Cassavetes
Charles Mingus
Joni Mitchell
Patrick Swayze
Jeremy Irons
Nicolas Cage
Max von Sydow
Joe Pesci
Bill Cosby
Lee Strasberg
Ginger Rogers
Helen Mirren
Kim Basinger
William Holden
Michael Moore
Bette Midler
Judi Dench
Jaco Pastorius
Roberto Benigni
Paulette Goddard
Ursula Andress
Cyndi Lauper
John Carpenter
Shirley Temple
Steve Martin
Antonio Banderas
Ritchie Valens
George Clooney
Vittorio Gassman
John Malkovich
Talia Shire
Anne Bancroft
Pat Morita
Jascha Heifetz
Danny Glover
Dennis Hopper
Burt Reynolds
Anita Ekberg
Tony Iommi
Liv Ullmann
Kevin Costner
Robert Bresson
Danny Trejo
John Woo
Deborah Kerr
Anthony Perkins
Mia Farrow
Tom Selleck
Paul Verhoeven
Lana Turner
Peter Falk
Quentin Tarantino
Wolfgang Petersen
Kathy Bates
Stéphane Grappelli
Lou Reed
Richard Attenborough
Michael York
John Hurt
Sharon Stone
F. Murray Abraham
George Martin
Willie Nelson
Cliff Richard
Whoopi Goldberg
Gérard Philipe
Roger Vadim
Jackie Stewart
Maximilian Schell
James Cameron
Will Smith
Keith Moon
Patrick Stewart
James Earl Jones
Richard Chamberlain
Fats Domino
James Hetfield
Jack Palance
Martin Landau
Melina Mercouri
Mickey Rourke
Steve Vai
James Woods
Ed Harris
Olivia de Havilland
Monica Bellucci
Robert Fripp
Jack Brabham
Curtis Mayfield
Keanu Reeves
George Lazenby
Joe Satriani
Lionel Richie
Rod Steiger
David Hasselhoff
Brian Jones
Sean Penn
Ian Holm
Jean-Jacques Annaud
Alain Prost
Stevie Ray Vaughan
Montgomery Clift
Emerson Fittipaldi
Giulietta Masina
Michael Mann
Michael J. Fox
Peter O'Toole
Billy Idol
Gloria Stuart
Jean Harlow
Graham Hill
Sydney Pollack
Dan Aykroyd
Jim Jarmusch
Fred Zinnemann
Christopher Reeve
Nicole Kidman
Glenn Close
Vladimir Ashkenazy
Robert Wise
Lars von Trier
Abbas Kiarostami
Alain Resnais
Jet Li
Viggo Mortensen
John Rhys-Davies
Roger Glover
Janet Leigh
Graham Chapman
Michel Piccoli
Anouk Aimée
Sam Neill
Nikita Mikhalkov
Christopher Plummer
Gary Oldman
Demi Moore
David Oistrakh
Gene Wilder
Michelle Pfeiffer
James Mason
Paul Stanley
Jacqueline du Pré
Björk
Michael Palin
Bourvil
Yasujiro Ozu
Michael Keaton
John Cazale
Vanessa Redgrave
Jeff Bridges
Gene Simmons
Jim Clark
Wes Craven
Jayne Mansfield
Natalie Wood
John Deacon
Claudette Colbert
Cantinflas
Marilyn Manson
Woody Guthrie
Hugh Grant
Itzhak Perlman
Jessica Tandy
Angelina Jolie
Amitabh Bachchan
Joseph L. Mankiewicz
Mr. T
Nelson Piquet
Roger Meddows Taylor
James Cromwell
Claude Lelouch
Alan Parker
Charlie Watts
Richard Dreyfuss
Costa-Gavras
Peter Lorre
Mario Andretti
Alberto Sordi
Monica Vitti
Steve Harris
Luc Besson
Julia Roberts
Dave Mustaine
John Paul Jones
Jacqueline Bisset
Pete Townshend
Shelley Winters
Carole Lombard
Geraldine Chaplin
Ian Curtis
Nigel Mansell
Richard Burton
Art Tatum
Bob Hope
Niki Lauda
Jim Belushi
Glenn Ford
Bill Evans
Armin Mueller-Stahl
Ron Perlman
Jason Robards
Ornette Coleman
Gilles Villeneuve
Mickey Rooney
Chow Yun-Fat
Bob Hoskins
Otto Preminger
Geoffrey Rush
Shohei Imamura
George C. Scott
David Carradine
Raquel Welch
Kirk Hammett
Tyrone Power
Michael Cimino
William Hurt
Bill Nighy
Jonathan Demme
Kevin Spacey
Robert Zemeckis
Gus Van Sant
Eddie Murphy
Peter Cushing
Ike Turner
Jochen Rindt
Yngwie J. Malmsteen
John Gielgud
Burt Bacharach
Kim Novak
Isabelle Adjani
Charlotte Rampling
Ram Narayan
David Suchet
Roy Scheider
Lars Ulrich
Sonny Rollins
Pamela Anderson
Sandra Bullock
Jan Garbarek
John Cale
Jean-Pierre Jeunet
James Garner
Joe Strummer
Rex Harrison
Brian Cox
Kevin Kline
Candice Bergen
Tony Levin
Terence Stamp
Jennifer Aniston
Elvis Costello
Dolph Lundgren
Ian Paice
Joel Schumacher
Meg Ryan
Adam Sandler
Dennis Quaid
Cliff Burton
Bruce McLaren
Barbara Stanwyck
André Rieu
Jason Statham
Éric Rohmer
Pat Metheny
Vincente Minnelli
Ron Wood
Richard Wright
Denny Hulme
Nancy Reagan
Richard Clayderman
Claude Chabrol
Ian McShane
Gary Sinise
John McLaughlin
Johannes Heesters
Alan Parsons
Mike Hawthorn
Dizzy Gillespie
Mark Hamill
Nicko McBrain
Sally Field
Willem Dafoe
William Hanna
Stirling Moss
Peter Stormare
Donald Pleasence
John Entwistle
Albert Finney
Alan J. Pakula
Malcolm Young
Bono
Russell Crowe
Jane Wyman
Don Johnson
